,Stock,Best case profits ratio,Worst case profits ratio,Best case losses ratio,Worst case losses ratio,Max. trade period in days,Min. trade period in days,Avg. trade period in days,Median trade period in days,Total exploration time
0,MMM,0.16727272727272727,0.16727272727272727,0.8327272727272728,0.8327272727272728,1022,1,82.67878787878787,18.0,39.570353984832764
1,AOS,0.14794520547945206,0.14794520547945206,0.8493150684931506,0.8493150684931506,548,1,51.175342465753424,11.0,11.468681812286377
2,ABT,0.17270788912579957,0.17270788912579957,0.8272921108742004,0.8272921108742004,799,1,74.02558635394456,14.0,20.212331295013428
3,ABBV,0.16666666666666666,0.16666666666666666,0.8137254901960784,0.8137254901960784,473,1,55.34313725490196,14.0,3.4722161293029785
4,ABMD,0.1270718232044199,0.1270718232044199,0.8674033149171271,0.8674033149171271,186,1,19.38121546961326,4.0,2.6434898376464844
5,ACN,0.17374517374517376,0.17374517374517376,0.8223938223938224,0.8223938223938224,693,1,69.54440154440154,19.0,10.414039134979248
6,ATVI,0.12295081967213115,0.12295081967213115,0.8729508196721312,0.8729508196721312,504,1,32.73360655737705,7.0,5.180016040802002
7,ADM,0.11849710982658959,0.11849710982658959,0.8670520231213873,0.8670520231213873,829,1,46.11849710982659,11.0,9.54427695274353
8,ADBE,0.15185185185185185,0.15185185185185185,0.8481481481481481,0.8481481481481481,341,1,39.388888888888886,8.0,6.428538084030151
9,ADP,0.1968503937007874,0.1968503937007874,0.797244094488189,0.797244094488189,1056,1,93.04133858267717,16.0,27.287841796875
10,AAP,0.06666666666666667,0.06666666666666667,0.9333333333333333,0.9333333333333333,354,1,32.15714285714286,8.5,4.133629560470581
11,AES,0.10043668122270742,0.10043668122270742,0.8951965065502183,0.8951965065502183,513,1,38.157205240174676,8.0,5.3060126304626465
12,AFL,0.13380281690140844,0.13380281690140844,0.8615023474178404,0.8615023474178404,931,1,75.34976525821597,13.0,18.467984199523926
13,A,0.15789473684210525,0.15789473684210525,0.8421052631578947,0.8421052631578947,979,1,56.06072874493927,10.0,8.212949514389038
14,AIG,0.35410764872521244,0.35410764872521244,0.6444759206798867,0.6444759206798867,2668,1,575.7138810198301,81.5,229.3133203983307
15,APD,0.18089430894308944,0.18089430894308944,0.8191056910569106,0.8191056910569106,660,1,76.89227642276423,14.5,22.1915020942688
16,AKAM,0.13259668508287292,0.13259668508287292,0.8674033149171271,0.8674033149171271,319,1,30.662983425414364,8.0,3.3540444374084473
17,ALK,0.13291139240506328,0.13291139240506328,0.8670886075949367,0.8670886075949367,260,1,28.193037974683545,7.0,5.508974552154541
18,ALB,0.11363636363636363,0.11363636363636363,0.8863636363636364,0.8863636363636364,563,1,44.128787878787875,9.0,6.835669994354248
19,ARE,0.15269461077844312,0.15269461077844312,0.8353293413173652,0.8353293413173652,806,1,92.8622754491018,21.0,17.49619221687317
20,ALGN,0.09722222222222222,0.09722222222222222,0.9027777777777778,0.9027777777777778,208,1,16.618055555555557,5.0,1.6011443138122559
21,ALLE,0.136,0.136,0.864,0.864,763,1,77.864,10.0,5.567139625549316
22,LNT,0.20773930753564154,0.20773930753564154,0.780040733197556,0.780040733197556,1025,1,131.68024439918534,23.0,37.2345290184021
23,ALL,0.1571072319201995,0.1571072319201995,0.8354114713216958,0.8354114713216958,715,1,84.31172069825436,16.0,19.454418182373047
24,GOOGL,0.14782608695652175,0.14782608695652175,0.8521739130434782,0.8521739130434782,560,1,54.11304347826087,15.0,7.679125785827637
25,GOOG,0.14537444933920704,0.14537444933920704,0.8546255506607929,0.8546255506607929,330,1,54.951541850220266,15.0,7.328858137130737
26,MO,0.19247467438494936,0.19247467438494936,0.8017366136034733,0.8017366136034733,646,1,74.27062228654124,14.0,30.15750741958618
27,AMZN,0.14832535885167464,0.14832535885167464,0.84688995215311,0.84688995215311,303,1,35.70334928229665,10.0,4.665379762649536
28,AMCR,0.1111111111111111,0.1111111111111111,0.8333333333333334,0.8333333333333334,1184,1,146.5,26.5,4.461611986160278
29,AMD,0.0975609756097561,0.0975609756097561,0.9024390243902439,0.9024390243902439,306,1,13.273170731707317,3.0,1.9810607433319092
30,AEE,0.1544943820224719,0.1544943820224719,0.8398876404494382,0.8398876404494382,1109,1,118.9185393258427,19.0,23.60042452812195
31,AAL,0.08823529411764706,0.08823529411764706,0.9117647058823529,0.9117647058823529,101,1,13.588235294117647,3.0,1.0459158420562744
32,AEP,0.18624641833810887,0.18624641833810887,0.8051575931232091,0.8051575931232091,1332,1,114.53008595988538,21.5,46.0485577583313
33,AXP,0.09272467902995721,0.09272467902995721,0.9072753209700428,0.9072753209700428,890,1,69.830242510699,13.0,28.38052463531494
34,AMT,0.1484375,0.1484375,0.84765625,0.84765625,716,1,76.45703125,14.0,11.259576559066772
35,AWK,0.22065727699530516,0.22065727699530516,0.7746478873239436,0.7746478873239436,627,1,104.28638497652582,18.0,12.608848333358765
36,AMP,0.16483516483516483,0.16483516483516483,0.8296703296703297,0.8296703296703297,402,1,51.895604395604394,12.0,5.663779258728027
37,ABC,0.18545454545454546,0.18545454545454546,0.8109090909090909,0.8109090909090909,712,1,65.25454545454545,15.0,10.704129457473755
38,AME,0.12742382271468145,0.12742382271468145,0.8698060941828255,0.8698060941828255,838,1,62.08310249307479,12.0,13.296802520751953
39,AMGN,0.11025641025641025,0.11025641025641025,0.8871794871794871,0.8871794871794871,421,1,37.04102564102564,9.0,8.641303300857544
40,APH,0.19220055710306408,0.19220055710306408,0.8050139275766016,0.8050139275766016,445,1,65.52646239554318,14.0,13.712541341781616
41,ADI,0.11041009463722397,0.11041009463722397,0.889589905362776,0.889589905362776,470,1,45.46687697160883,7.0,8.5453519821167
42,ANSS,0.11009174311926606,0.11009174311926606,0.8899082568807339,0.8899082568807339,882,1,47.408256880733944,9.5,6.232917547225952
43,ANTM,0.15450643776824036,0.15450643776824036,0.8454935622317596,0.8454935622317596,941,1,51.38197424892704,10.0,6.972830533981323
44,AON,0.1978021978021978,0.1978021978021978,0.8,0.8,605,1,84.12307692307692,19.0,22.16136145591736
45,APA,0.08022922636103152,0.08022922636103152,0.9197707736389685,0.9197707736389685,491,1,27.93409742120344,6.0,6.43699312210083
46,AAPL,0.18453865336658354,0.18453865336658354,0.8154613466334164,0.8154613466334164,370,1,35.35910224438903,7.0,8.568894386291504
47,AMAT,0.10273972602739725,0.10273972602739725,0.8972602739726028,0.8972602739726028,341,1,23.263698630136986,5.0,4.391278982162476
48,APTV,0.12295081967213115,0.12295081967213115,0.8770491803278688,0.8770491803278688,428,1,45.68852459016394,10.5,3.4148738384246826
49,ANET,0.09859154929577464,0.09859154929577464,0.9014084507042254,0.9014084507042254,199,1,26.845070422535212,7.0,1.3349931240081787
50,AIZ,0.14814814814814814,0.14814814814814814,0.8425925925925926,0.8425925925925926,603,1,67.70833333333333,16.0,8.560432195663452
51,T,0.16393442622950818,0.16393442622950818,0.8306010928961749,0.8306010928961749,1129,1,80.19854280510019,16.0,25.36633563041687
52,ATO,0.12987012987012986,0.12987012987012986,0.8679653679653679,0.8679653679653679,871,1,93.08008658008659,17.5,24.6877703666687
53,ADSK,0.12318840579710146,0.12318840579710146,0.8768115942028986,0.8768115942028986,348,1,26.0,6.0,4.673016548156738
54,AZO,0.1411042944785276,0.1411042944785276,0.8588957055214724,0.8588957055214724,689,1,59.647239263803684,13.0,11.332854747772217
55,AVB,0.1882716049382716,0.1882716049382716,0.7962962962962963,0.7962962962962963,910,1,88.90432098765432,22.0,16.408172607421875
56,AVY,0.14847161572052403,0.14847161572052403,0.851528384279476,0.851528384279476,640,1,58.94541484716157,13.5,16.07500457763672
57,BKR,0.09266409266409266,0.09266409266409266,0.9073359073359073,0.9073359073359073,290,1,25.98069498069498,5.0,4.240149021148682
58,BALL,0.0892018779342723,0.0892018779342723,0.9084507042253521,0.9084507042253521,804,1,51.774647887323944,10.0,13.685782670974731
59,BAC,0.14898989898989898,0.14898989898989898,0.8459595959595959,0.8459595959595959,775,1,65.27272727272727,14.0,15.775397062301636
60,BBWI,0.12956810631229235,0.12956810631229235,0.8704318936877077,0.8704318936877077,369,1,34.0265780730897,8.0,6.481958627700806
61,BAX,0.13948919449901767,0.13948919449901767,0.8605108055009824,0.8605108055009824,849,1,81.83104125736739,13.0,23.984092712402344
62,BDX,0.14794007490636704,0.14794007490636704,0.8426966292134831,0.8426966292134831,914,1,69.73595505617978,13.0,21.702686071395874
63,WRB,0.21507760532150777,0.21507760532150777,0.7782705099778271,0.7782705099778271,786,1,86.88913525498891,17.0,22.83644413948059
64,BBY,0.11151079136690648,0.11151079136690648,0.8884892086330936,0.8884892086330936,237,1,19.057553956834532,7.0,3.6202776432037354
65,BIO,0.13838120104438642,0.13838120104438642,0.8590078328981723,0.8590078328981723,706,1,47.422976501305484,9.0,10.734345436096191
66,TECH,0.140625,0.140625,0.859375,0.859375,533,1,53.5390625,12.0,8.064491033554077
67,BIIB,0.16826923076923078,0.16826923076923078,0.8317307692307693,0.8317307692307693,339,1,38.25961538461539,8.0,4.960846185684204
68,BLK,0.14893617021276595,0.14893617021276595,0.8439716312056738,0.8439716312056738,385,1,48.723404255319146,13.0,8.423215627670288
69,BK,0.12216404886561955,0.12216404886561955,0.8778359511343804,0.8778359511343804,613,1,55.712041884816756,14.0,19.066414833068848
70,BA,0.15841584158415842,0.15841584158415842,0.8415841584158416,0.8415841584158416,473,1,43.03300330033003,10.0,15.595724821090698
71,BKNG,0.125,0.125,0.875,0.875,266,1,32.6,9.0,4.337830543518066
72,BWA,0.1411764705882353,0.1411764705882353,0.8588235294117647,0.8588235294117647,375,1,37.46666666666667,8.0,5.81557297706604
73,BXP,0.13225806451612904,0.13225806451612904,0.8516129032258064,0.8516129032258064,850,1,71.90967741935484,14.0,12.778207540512085
74,BSX,0.08764940239043825,0.08764940239043825,0.9043824701195219,0.9043824701195219,473,1,34.94820717131474,7.0,5.524446487426758
75,BMY,0.13153724247226625,0.13153724247226625,0.8589540412044374,0.8589540412044374,520,1,58.92868462757528,13.0,21.76509976387024
76,AVGO,0.15833333333333333,0.15833333333333333,0.8333333333333334,0.8333333333333334,436,1,43.19166666666667,8.0,3.1025257110595703
77,BR,0.19270833333333334,0.19270833333333334,0.8072916666666666,0.8072916666666666,600,1,66.50520833333333,14.5,7.381281852722168
78,BRO,0.17478510028653296,0.17478510028653296,0.8223495702005731,0.8223495702005731,795,1,76.9054441260745,17.0,15.539017915725708
79,CHRW,0.10545454545454545,0.10545454545454545,0.88,0.88,708,1,58.20727272727273,12.0,9.213547945022583
80,CDNS,0.11811023622047244,0.11811023622047244,0.8818897637795275,0.8818897637795275,412,1,42.330708661417326,7.0,6.529860734939575
81,CZR,0.20588235294117646,0.20588235294117646,0.7941176470588235,0.7941176470588235,163,1,25.264705882352942,6.0,0.6886732578277588
82,CPT,0.17888563049853373,0.17888563049853373,0.8064516129032258,0.8064516129032258,1232,1,111.97653958944281,25.0,21.386072158813477
83,CPB,0.1440329218106996,0.1440329218106996,0.8497942386831275,0.8497942386831275,1169,1,71.15637860082305,15.0,20.223140954971313
84,COF,0.08664259927797834,0.08664259927797834,0.9133574007220217,0.9133574007220217,540,1,46.34657039711191,9.0,7.5568225383758545
85,CAH,0.1266490765171504,0.1266490765171504,0.8680738786279684,0.8680738786279684,809,1,54.46965699208443,12.0,12.154739379882812
86,KMX,0.09950248756218906,0.09950248756218906,0.900497512437811,0.900497512437811,451,1,28.70149253731343,6.0,3.4905757904052734
87,CCL,0.11884057971014493,0.11884057971014493,0.8782608695652174,0.8782608695652174,652,1,55.89565217391304,12.0,11.212218284606934
88,CARR,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8571428571428571,160,1,18.571428571428573,6.0,0.393385648727417
89,CTLT,0.11940298507462686,0.11940298507462686,0.8805970149253731,0.8805970149253731,254,1,27.671641791044777,8.0,1.243107795715332
90,CAT,0.11564625850340136,0.11564625850340136,0.8843537414965986,0.8843537414965986,410,1,45.85170068027211,11.0,20.162432193756104
91,CBOE,0.2887323943661972,0.2887323943661972,0.704225352112676,0.704225352112676,575,1,82.95774647887323,17.5,6.964496612548828
92,CBRE,0.10884353741496598,0.10884353741496598,0.891156462585034,0.891156462585034,380,1,39.0,10.0,3.552841901779175
93,CDW,0.14423076923076922,0.14423076923076922,0.8461538461538461,0.8461538461538461,294,1,42.07692307692308,8.0,2.8399031162261963
94,CE,0.09239130434782608,0.09239130434782608,0.907608695652174,0.907608695652174,419,1,38.744565217391305,11.0,4.262014865875244
95,CNC,0.1360544217687075,0.1360544217687075,0.8639455782312925,0.8639455782312925,316,1,29.13605442176871,7.0,3.025078773498535
96,CNP,0.14751552795031056,0.14751552795031056,0.8462732919254659,0.8462732919254659,1128,1,96.7251552795031,18.0,36.08708572387695
97,CDAY,0.20833333333333334,0.20833333333333334,0.7916666666666666,0.7916666666666666,130,1,22.166666666666668,8.0,0.5644364356994629
98,CERN,0.10037174721189591,0.10037174721189591,0.862453531598513,0.862453531598513,361,1,42.90706319702602,9.0,7.173905849456787
99,CF,0.1366906474820144,0.1366906474820144,0.8633093525179856,0.8633093525179856,252,1,31.58273381294964,6.0,2.7089977264404297
100,CRL,0.12446351931330472,0.12446351931330472,0.8755364806866953,0.8755364806866953,819,1,56.502145922746784,12.0,7.956420421600342
101,SCHW,0.14035087719298245,0.14035087719298245,0.8596491228070176,0.8596491228070176,376,1,29.74035087719298,8.0,5.489553689956665
102,CHTR,0.09701492537313433,0.09701492537313433,0.8955223880597015,0.8955223880597015,426,1,41.04477611940298,10.0,3.2627341747283936
103,CVX,0.15070422535211267,0.15070422535211267,0.8464788732394366,0.8464788732394366,946,1,71.72957746478873,13.0,30.603511810302734
